datetime_utc,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075
2021-01-02 00:00:00, 0.74, 1.25, 0.34, 0.17, 0.63, 1.25, 1.31, 0.11, 0.80, 0.34, 0.80, 0.11, 1.65, 0.34, 0.51, 0.06, 3.99, 0.68, 0.11, 0.28, 1.08, 1.82, 0.91, 0.11, 0.85, 0.11, 0.28, 0.57, 0.28, 0.11, 0.11, 0.28, 0.51, 0.17, 0.17, 0.51, 0.34, 0.34, 0.11, 0.57, 0.17, 0.40, 0.17, 0.40, 0.28, 0.17, 0.34, 0.57, 0.28, 0.11, 0.11, 0.11, 0.85, 0.28, 0.23, 0.23, 0.68, 0.51, 0.23, 0.23, 0.28, 0.74, 0.28, 0.11, 1.42, 0.57, 0.80, 0.23, 0.57, 0.17, 0.11, 0.11, 1.08, 0.17, 0.23
2021-01-02 01:00:00, 0.57, 1.42, 0.74, 0.06, 0.46, 1.65, 1.48, 0.06, 0.68, 0.40, 0.91, 0.06, 1.71, 0.85, 0.97, 0.06, 3.47, 1.08, 0.46, 0.06, 1.48, 2.11, 1.42, 0.06, 0.51, 0.23, 0.28, 0.06, 0.28, 0.11, 0.28, 0.06, 0.34, 0.23, 0.17, 0.06, 0.34, 0.34, 0.23, 0.06, 0.23, 0.46, 0.34, 0.06, 0.23, 0.28, 0.46, 0.06, 0.23, 0.11, 0.23, 0.06, 0.68, 0.46, 0.23, 0.06, 0.80, 0.85, 0.28, 0.06, 0.34, 0.80, 0.57, 0.06, 0.68, 0.91, 1.31, 0.06, 0.34, 0.23, 0.46, 0.06, 1.08, 0.17, 0.28
2021-01-02 02:00:00, 0.57, 1.54, 1.31, 0.06, 0.28, 1.88, 2.22, 0.06, 0.68, 0.80, 1.82, 0.06, 0.91, 1.71, 1.20, 0.06, 3.19, 1.42, 1.31, 0.06, 1.94, 2.05, 2.05, 0.06, 0.34, 0.68, 0.68, 0.06, 0.34, 0.23, 0.57, 0.06, 0.46, 0.51, 0.40, 0.06, 0.40, 0.63, 0.46, 0.06, 0.28, 0.63, 0.63, 0.06, 0.17, 0.68, 0.74, 0.06, 0.28, 0.34, 0.34, 0.06, 0.57, 0.51, 0.28, 0.06, 0.85, 1.03, 0.68, 0.06, 0.34, 0.85, 1.14, 0.06, 0.91, 1.20, 1.54, 0.06, 0.34, 0.40, 1.08, 0.06, 0.97, 0.46, 0.51
2021-01-02 03:00:00, 0.85, 1.71, 1.54, 0.06, 0.40, 2.16, 2.56, 0.06, 1.08, 0.97, 2.11, 0.06, 2.56, 2.39, 1.88, 0.06, 3.30, 1.54, 2.11, 0.06, 1.94, 2.33, 2.45, 0.06, 0.63, 1.20, 0.91, 0.06, 0.57, 0.34, 1.08, 0.00, 0.74, 0.85, 0.63, 0.00, 0.68, 0.91, 0.85, 0.00, 0.57, 0.91, 0.97, 0.00, 0.34, 1.20, 0.97, 0.06, 0.63, 0.63, 0.57, 0.06, 0.85, 0.63, 0.51, 0.00, 1.03, 1.20, 1.31, 0.00, 0.57, 1.31, 1.82, 0.00, 0.57, 1.54, 1.54, 0.06, 0.63, 0.57, 1.54, 0.06, 1.20, 0.74, 0.85
2021-01-02 04:00:00, 1.42, 1.94, 1.59, 0.00, 0.63, 2.56, 2.62, 0.06, 1.59, 0.97, 2.39, 0.06, 1.99, 2.51, 1.88, 0.06, 4.44, 1.42, 1.65, 0.06, 3.30, 2.51, 2.39, 0.06, 1.03, 1.37, 0.85, 0.00, 1.14, 0.46, 0.97, 0.00, 1.37, 0.97, 0.46, 0.00, 1.20, 1.08, 0.80, 0.00, 1.14, 1.03, 0.91, 0.00, 0.74, 1.31, 1.03, 0.00, 1.37, 0.68, 0.74, 0.06, 1.31, 0.68, 0.46, 0.00, 1.59, 1.20, 1.42, 0.00, 1.08, 1.37, 1.65, 0.00, 1.37, 1.59, 1.31, 0.06, 0.97, 0.63, 1.31, 0.06, 1.82, 1.14, 0.68
2021-01-02 05:00:00, 2.33, 1.88, 1.42, 0.06, 1.03, 3.08, 2.39, 0.06, 2.62, 0.91, 2.05, 0.06, 5.24, 2.51, 2.28, 0.06, 5.64, 1.42, 1.25, 0.06, 4.27, 2.62, 2.16, 0.06, 1.42, 1.20, 0.68, 0.06, 1.77, 0.40, 0.74, 0.06, 1.99, 0.85, 0.34, 0.06, 1.99, 1.08, 0.51, 0.06, 1.65, 1.03, 0.68, 0.06, 1.14, 1.20, 0.80, 0.06, 1.99, 0.68, 0.68, 0.06, 1.82, 1.03, 0.28, 0.06, 2.11, 1.20, 1.08, 0.06, 1.94, 1.31, 1.54, 0.06, 1.54, 1.59, 1.03, 0.06, 1.59, 0.57, 0.97, 0.06, 2.45, 1.71, 0.40
2021-01-02 06:00:00, 2.51, 1.77, 1.20, 0.06, 1.08, 2.51, 1.82, 0.06, 3.93, 0.85, 1.48, 0.06, 4.44, 2.39, 1.03, 0.06, 5.58, 1.37, 0.80, 0.06, 3.93, 2.22, 1.71, 0.06, 1.31, 1.25, 0.57, 0.06, 1.88, 0.40, 0.40, 0.06, 2.22, 0.68, 0.23, 0.06, 2.45, 1.20, 0.34, 0.06, 1.82, 1.20, 0.34, 0.06, 1.20, 1.25, 0.57, 0.06, 2.16, 0.68, 0.40, 0.06, 2.11, 1.37, 0.17, 0.06, 2.45, 1.14, 0.74, 0.06, 2.90, 1.59, 0.68, 0.06, 2.39, 1.88, 0.97, 0.06, 2.16, 0.74, 0.40, 0.06, 2.62, 1.71, 0.17
2021-01-02 07:00:00, 3.19, 1.59, 1.03, 0.06, 1.59, 2.45, 1.31, 0.11, 4.33, 0.68, 0.85, 0.11, 4.67, 1.77, 1.37, 0.06, 6.38, 1.48, 0.40, 0.06, 4.90, 1.99, 1.37, 0.06, 2.11, 1.14, 0.34, 0.06, 2.39, 0.40, 0.28, 0.06, 3.36, 0.57, 0.11, 0.06, 3.70, 1.59, 0.23, 0.06, 2.62, 1.31, 0.23, 0.06, 1.82, 1.25, 0.34, 0.06, 2.62, 0.51, 0.28, 0.06, 2.85, 1.14, 0.11, 0.06, 3.19, 1.31, 0.34, 0.06, 3.87, 2.16, 0.34, 0.06, 2.85, 1.54, 0.80, 0.06, 3.25, 0.51, 0.34, 0.06, 3.36, 1.25, 0.11
2021-01-02 08:00:00, 4.73, 2.11, 1.31, 0.11, 2.45, 2.85, 1.71, 0.28, 5.18, 0.97, 1.03, 0.23, 5.24, 2.11, 1.14, 0.11, 8.49, 2.11, 0.80, 0.23, 5.69, 2.56, 1.71, 0.11, 2.68, 1.31, 0.34, 0.06, 3.47, 0.51, 0.34, 0.06, 4.78, 0.85, 0.11, 0.06, 5.01, 1.25, 0.23, 0.06, 3.59, 1.71, 0.34, 0.06, 2.73, 1.48, 0.40, 0.06, 3.30, 0.68, 0.34, 0.11, 3.99, 1.20, 0.17, 0.17, 4.50, 1.71, 0.34, 0.06, 5.87, 2.73, 0.74, 0.06, 5.01, 1.82, 1.14, 0.11, 3.99, 0.51, 0.51, 0.17, 4.84, 1.14, 0.11
2021-01-02 09:00:00, 5.07, 1.65, 1.37, 0.11, 2.73, 2.33, 2.22, 0.46, 5.52, 0.46, 1.48, 0.34, 6.89, 2.45, 1.54, 0.23, 9.85, 1.71, 0.91, 0.23, 6.21, 1.99, 1.94, 0.11, 2.90, 0.80, 0.57, 0.11, 3.76, 0.34, 0.68, 0.11, 4.61, 0.80, 0.28, 0.11, 5.07, 1.25, 0.23, 0.11, 3.76, 1.25, 0.40, 0.11, 2.85, 0.91, 0.80, 0.11, 2.90, 0.34, 0.40, 0.23, 4.16, 0.68, 0.17, 0.28, 5.01, 1.54, 0.57, 0.11, 5.87, 1.77, 1.71, 0.11, 4.16, 1.31, 1.71, 0.23, 3.42, 0.34, 0.85, 0.28, 4.50, 0.63, 0.23
